Timestamp,Stress Probability (%),Key Pressed,Latency (ms)
13:05:2025:23:13:52,0.62%,Space,65.812
13:05:2025:23:13:52,0.71%,Space,69.439
13:05:2025:23:13:52,0.00%,Space,55.858
13:05:2025:23:13:52,0.00%,Space,72.776
13:05:2025:23:13:52,88.48%,W,59.556
13:05:2025:23:13:52,0.00%,Space,58.182
13:05:2025:23:13:52,0.02%,Space,68.423
13:05:2025:23:13:52,0.00%,Space,56.528
13:05:2025:23:13:52,0.19%,Space,59.589
13:05:2025:23:13:52,0.58%,Space,51.454
13:05:2025:23:13:52,0.66%,Space,56.213
13:05:2025:23:13:52,0.67%,Space,56.682
13:05:2025:23:13:52,0.70%,Space,46.184
13:05:2025:23:13:52,0.00%,Space,61.612
13:05:2025:23:13:52,34.16%,Space,51.008
13:05:2025:23:13:52,0.00%,Space,53.935
13:05:2025:23:13:52,0.68%,Space,55.056
13:05:2025:23:13:52,0.00%,Space,51.449
13:05:2025:23:13:52,0.09%,Space,58.047
13:05:2025:23:13:52,0.55%,Space,64.985
13:05:2025:23:13:52,0.67%,Space,54.823
13:05:2025:23:13:52,0.61%,Space,52.424
13:05:2025:23:13:52,0.64%,Space,46.255
13:05:2025:23:13:52,0.00%,Space,66.039
13:05:2025:23:13:52,4.49%,Space,48.456
13:05:2025:23:13:52,0.00%,Space,44.445
13:05:2025:23:13:52,0.00%,Space,51.852
13:05:2025:23:13:52,0.00%,Space,46.421
13:05:2025:23:13:52,0.03%,Space,50.245
13:05:2025:23:13:52,0.24%,Space,45.316
13:05:2025:23:13:52,0.71%,Space,47.866
13:05:2025:23:13:52,0.60%,Space,51.173
13:05:2025:23:13:52,0.66%,Space,61.356
13:05:2025:23:13:52,0.00%,Space,51.953
13:05:2025:23:13:52,44.90%,Space,55.297
13:05:2025:23:13:52,84.85%,W,54.348
13:05:2025:23:13:52,0.00%,Space,66.061
13:05:2025:23:13:52,0.00%,Space,58.738
13:05:2025:23:13:52,0.01%,Space,47.072
13:05:2025:23:13:52,0.09%,Space,47.544
13:05:2025:23:13:52,0.70%,Space,48.620
